Year,Utility ID,Name,Class,Owner,First of Year,Added During Year,Retired During Year,Adjustments Increase or (Decrease),End of Year,Tested During Year,Residential,Commercial,Industrial,Public Authority,Wholesale or Interdepartment or Utility Use,Multifamily,Irrigation,In Stock,Deducted Qty,Total,
2024,520,Black Creek Municipal Water and Sewer Utility,D,Muni,511,32,4,0,539,11,431,54,9,11,0,4,0,28,0,539,
2024,531,Village of Black Earth Water Utility,C,Muni,754,19,9,-20,744,0,639,35,0,9,0,23,0,0,38,744,
2024,550,Black River Falls Municipal Electric and Water,AB,Muni,1696,0,0,1,1697,31,1211,208,18,49,0,38,0,18,153,1697,
2024,560,Blair Municipal Water Utility,D,Muni,655,146,29,10,782,0,549,56,5,13,0,2,0,156,0,782,
2024,570,Blanchardville Municipal Water Utility,D,Muni,384,4,2,0,386,0,321,44,0,15,0,6,0,0,0,386,
2024,585,City of Bloomer Water Utility,C,Muni,1870,3,12,1,1862,22,1565,194,10,25,0,16,0,50,2,1862,
2024,610,Bloomington Municipal Water Utility,D,Muni,431,47,47,-70,361,0,291,44,0,4,0,4,0,18,0,361,
2024,615,Village of Blue Mounds Municipal Water Utility,D,Muni,441,0,7,3,437,4,286,14,0,1,0,5,105,19,0,437,
2024,620,Blue River Municipal Water And Sewer Utility,D,Muni,243,0,1,5,247,0,208,24,0,6,0,3,0,6,0,247,
2024,627,Bluffview Sanitary District,D,Sani,36,0,0,0,36,36,17,6,0,1,0,10,0,2,0,36,
2024,630,Bonduel Water and Sewer Utility,D,Muni,611,6,3,0,614,7,482,78,11,22,0,12,0,9,0,614,
2024,650,Boscobel Municipal Utilities,C,Muni,1570,80,84,3,1569,38,1098,167,0,38,0,19,0,244,0,1569,
2024,670,Bowler Water And Sewer Utility,D,Muni,150,0,1,0,149,5,109,13,0,17,0,2,0,7,1,149,
2024,680,Boyceville Municipal Water Utility,D,Muni,496,10,5,0,501,0,404,42,4,25,0,14,0,12,0,501,
2024,690,Boyd Municipal Water And Sewer Utility,D,Muni,290,12,9,0,293,26,235,30,1,7,0,1,0,11,7,293,
2024,700,Brandon Sewer and Water Utility,D,Muni,408,8,7,0,409,5,353,29,3,16,0,0,0,8,0,409,
2024,705,Bridgeport Sanitary Dist,D,Sani,178,11,1,0,188,12,106,59,3,2,0,3,0,15,0,188,
2024,710,Brillion Municipal Water Utility,C,Muni,1265,144,120,-3,1286,11,1092,107,14,24,0,29,0,20,0,1286,
2024,720,Bristol Water Utility,D,Muni,597,9,4,0,602,26,475,58,23,8,0,10,0,28,0,602,
2024,730,Town of Brockway Sanitary District 1,D,Sani,609,32,29,11,623,12,516,52,0,26,0,11,0,18,0,623,
2024,740,Brodhead Water And Light Commission,C,Muni,1401,32,39,2,1396,37,1165,134,10,24,0,17,0,43,0,1396,
2024,760,Brookfield Municipal Water Utility,AB,Muni,15152,0,1047,-528,13577,1399,12147,861,12,35,0,270,0,252,0,13577,
2024,770,Brooklyn Water Utility,D,Muni,706,71,60,0,717,57,566,25,7,10,0,3,0,106,0,717,
2024,780,Brown Deer Water Public Utility,AB,Muni,3894,337,246,0,3985,13,3415,199,16,16,0,94,0,220,18,3985,
2024,790,Brownsville Water Utility,D,Muni,342,17,0,-2,357,39,267,33,0,8,0,5,0,44,0,357,
2024,800,Browntown Municipal Water Utility,D,Muni,143,0,2,19,160,0,120,5,5,6,0,0,0,20,4,160,
2024,810,Bruce Municipal Water and Sewer Utility,D,Muni,355,52,52,0,355,4,275,37,0,18,0,1,0,23,1,355,
2024,840,Burlington Municipal Waterworks,C,Muni,4064,200,63,32,4233,139,3237,553,22,53,0,138,0,230,0,4233,
2024,860,Butler Public Water Utility,C,Muni,834,36,32,4,842,9,564,218,10,5,0,0,0,37,5,842,
2024,870,Butternut Municipal Water Department,D,Muni,288,0,0,11,299,0,139,27,1,9,0,5,0,118,0,299,
2024,890,Cadott Light And Water Municipal Utility,C,Muni,667,25,70,-2,620,41,498,85,3,11,0,3,0,20,0,620,
2024,900,Village of Caledonia Water Utility,AB,Muni,8508,18,31,0,8495,18,7119,251,45,37,0,0,0,1041,0,8495,
2024,910,Cambria Municipal Water Utility,D,Muni,349,2,0,0,351,0,293,20,19,14,0,5,0,0,0,351,
2024,920,Cambridge Municipal Water Utility,D,Muni,940,19,17,16,958,0,697,97,4,11,0,4,0,26,119,958,
2024,930,Village of Cameron Municipal Water Utility,D,Muni,812,60,59,-1,812,21,636,92,0,24,0,41,0,19,0,812,
2024,940,Campbellsport Municipal Water Utility,D,Muni,992,490,287,-2,1193,56,731,69,3,20,0,18,0,352,0,1193,
2024,950,Camp Douglas Municipal Water Utility,D,Muni,399,0,40,0,359,0,222,22,1,6,0,3,0,105,0,359,
2024,970,Cashton Municipal Electric And Water Utility,C,Muni,608,0,0,0,608,0,509,63,0,17,0,0,0,9,0,608,
2024,980,Cassville Water and Sewer Utility,D,Muni,436,29,14,7,458,11,362,37,2,13,0,7,0,30,7,458,
2024,990,Village of Cazenovia Water Utility,D,Muni,153,15,15,6,159,0,132,13,0,4,0,8,0,2,0,159,
2024,1000,Cedarburg Light And Water Commission,AB,Muni,4792,75,33,0,4834,30,4213,302,28,45,0,139,1,106,0,4834,
2024,1010,Cedar Grove Municipal Water Utility,D,Muni,842,5,5,0,842,0,747,45,9,14,0,18,0,8,0,842,
2024,1050,Centuria Municipal Water And Sewer Utility,D,Muni,319,0,7,-8,304,0,242,37,0,4,0,9,0,6,6,304,
2024,1060,Chaseburg Water and Sewer Utility,D,Muni,148,8,11,0,145,8,99,9,4,4,0,3,0,26,0,145,
2024,1080,Chetek Municipal Water Utility,C,Muni,1046,9,5,0,1050,0,829,139,13,39,0,16,0,14,0,1050,
2024,1100,Chilton Municipal Water Utility,C,Muni,1769,38,11,0,1796,75,1466,143,35,25,0,44,15,67,0,1796,
2024,1120,Chippewa Falls Department of Public Utilities,AB,Muni,6863,1337,937,-1,7262,1246,5697,449,105,47,0,127,0,837,0,7262,
2024,1150,Clayton Municipal Water Utility,D,Muni,489,0,0,-6,483,12,250,27,4,7,0,13,0,182,0,483,
2024,1160,Clear Lake Municipal Water Utility,D,Muni,512,0,0,0,512,6,387,56,17,12,0,8,0,32,0,512,
2024,1180,Cleveland Water Utility,D,Muni,720,31,62,0,689,219,622,31,4,19,0,4,0,6,0,689,
2024,1190,Clinton Municipal Waterworks,D,Muni,1225,11,103,0,1133,106,754,99,12,17,0,13,0,154,84,1133,
2024,1200,Clintonville Water and Electric Utility,C,Muni,2189,61,37,11,2224,96,1772,191,29,30,0,40,0,129,31,2224,
2024,1210,Clyman Utility Commission,D,Muni,173,0,0,0,173,2,141,8,5,6,0,7,0,4,2,173,
2024,1220,Cobb Municipal Water Utility,D,Muni,260,32,0,0,292,0,200,23,0,8,0,2,0,58,0,292,
2024,1240,Cochrane Municipal Water Utility,D,Muni,221,10,5,0,226,3,176,33,7,3,0,0,0,7,0,226,
2024,1250,City of Colby Municipal Water Utility,D,Muni,764,0,0,-7,757,15,604,90,7,12,0,16,0,28,0,757,
2024,1260,Coleman Water Utility,D,Muni,453,8,6,-6,449,8,295,56,7,10,0,4,70,4,3,449,
2024,1270,Colfax Municipal Water And Sewer Utility,D,Muni,486,4,1,0,489,0,385,74,7,16,0,0,0,5,0,489,
2024,1280,Coloma Municipal Water Utility,D,Muni,260,2,0,0,262,0,194,40,2,6,0,0,0,18,0,262,
2024,1300,Columbus Water And Light Department,AB,Muni,2744,26,8,0,2762,56,2077,230,11,30,0,33,0,369,0,2762,
2024,1310,Combined Locks Water Utility,C,Muni,1520,0,5,0,1515,164,1403,21,7,12,0,0,0,71,0,1515,
2024,1360,Coon Valley Municipal Water Utility,D,Muni,394,47,25,0,416,0,313,34,5,14,0,3,0,47,0,416,
2024,1370,Cornell Municipal Water And Electric Utility,C,Muni,833,16,12,0,837,72,558,75,7,14,0,8,0,175,0,837,
2024,1390,Cottage Grove Water and Sewer Utility,C,Muni,2656,57,6,0,2707,80,2376,126,9,35,0,58,0,45,51,2707,
2024,1395,Country Estates Sanitary District,D,Sani,211,10,10,0,211,1,208,0,0,0,0,0,0,2,1,211,
2024,1400,Crandon Water And Sewer Utility,D,Muni,745,0,0,0,745,0,571,130,7,20,0,0,0,17,0,745,
2024,1435,Village of Crivitz Water Utility,D,Muni,746,145,143,-14,734,3,362,124,1,11,0,23,16,197,0,734,
2024,1450,Cross Plains Water Utility,C,Muni,1741,48,10,8,1787,14,1364,72,4,15,0,27,206,99,0,1787,
2024,1470,Cuba City Electric and Water Utility,C,Muni,981,33,6,0,1008,0,808,78,11,9,0,17,0,85,0,1008,
2024,1480,City of Cudahy Water Utility,AB,Muni,5733,23,28,26,5754,527,4966,350,58,24,0,228,0,123,0,5754,
2024,1490,Cumberland Municipal Utility,C,Muni,1156,89,52,0,1193,93,944,143,6,18,0,21,0,33,22,1193,
2024,1505,Curtiss Municipal Water and Sewer Utility,D,Muni,104,2,0,0,106,17,67,13,4,3,0,4,0,11,0,106,
2024,1520,Dallas Municipal Water Utility,D,Muni,186,0,0,0,186,0,146,25,0,6,0,1,0,8,0,186,
2024,1540,Dane Water and Sewer Utility,D,Muni,425,30,0,8,463,0,392,22,4,6,0,6,0,31,0,463,
2024,1545,Darboy Joint Sanitary District No 1,AB,Sani,5145,172,164,0,5153,355,4735,270,4,9,0,53,0,57,25,5153,
2024,1550,Darien Water Works and Sewer System,D,Muni,686,48,45,0,689,45,609,45,18,8,0,9,0,0,0,689,
2024,1560,Darlington Municipal Water And Sewer Utility,C,Muni,1272,61,96,11,1248,11,951,129,17,51,0,12,0,49,36,1248,
2024,1570,Deerfield Water Utility,C,Muni,1186,123,33,0,1276,0,1064,63,14,19,0,25,0,91,0,1276,
2024,1580,DeForest Municipal Water Utility,C,Muni,4301,65,2,-2,4362,42,3869,257,50,37,0,81,0,68,0,4362,
2024,1590,Delavan Water and Sewage Commission,C,Muni,3028,410,305,0,3133,341,2557,358,24,36,0,82,0,65,0,3133,
2024,1595,Delafield Municipal Water Utility,D,Muni,108,19,0,15,142,22,16,84,0,9,0,16,0,17,0,142,
2024,1600,Denmark Municipal Water Utility,C,Muni,1091,89,80,-1,1099,8,921,75,12,17,0,23,2,40,0,1099,
2024,1610,De Pere Water Department,AB,Muni,10874,323,219,0,10978,269,7796,613,109,87,0,631,0,167,1566,10978,
2024,1615,Ledgeview Sanitary District No 2,C,Sani,2840,262,22,0,3080,30,2604,142,0,6,0,88,0,236,0,3080,
2024,1620,Dickeyville Water Utility,D,Muni,489,14,0,0,503,12,409,53,2,9,0,0,0,30,0,503,
2024,1645,Dodge Sanitary District #1,D,Sani,58,0,0,1,59,0,49,2,0,0,0,5,0,3,0,59,
2024,1650,Dodgeville Water Utility,C,Muni,2294,56,38,0,2312,24,1924,216,10,43,0,35,0,84,0,2312,
2024,1660,Village of Dorchester Water Utility,D,Muni,413,0,5,3,411,2,309,51,26,5,0,0,0,4,0,411,
2024,1670,Dousman Water Utility,D,Muni,813,7,2,4,822,4,723,64,7,12,0,8,0,8,0,822,
2024,1675,Downsville Sanitary District No 1,D,Sani,95,0,0,0,95,0,74,16,0,4,0,0,0,1,0,95,
2024,1680,Dresser Municipal Water Utility,D,Muni,495,4,3,0,496,6,335,34,9,13,0,5,0,6,94,496,
2024,1685,Drummond Sanitary District 1,D,Sani,131,0,0,-2,129,0,104,11,2,9,0,2,0,0,0,129,
2024,1690,Durand Municipal Water Utility,D,Muni,975,45,9,0,1011,61,739,122,2,31,0,12,0,105,0,1011,
2024,1700,Village of Eagle Municipal Water Utility,D,Muni,904,0,1,-58,845,0,792,30,4,8,0,5,0,6,0,845,
2024,1710,Eagle River Light And Water Commission,AB,Muni,1354,3,98,-3,1256,216,743,319,0,25,0,0,0,128,41,1256,
2024,1720,Eastman Water Utility,D,Muni,176,0,13,0,163,2,125,22,0,7,0,2,0,7,0,163,
2024,1730,Village of East Troy Municipal Water Utility,C,Muni,1598,29,8,0,1619,44,1304,140,34,30,0,62,0,35,11,1619,
2024,1735,East Troy Sanitary District #3,D,Sani,20,0,0,0,20,0,18,1,1,0,0,0,0,0,0,20,
2024,1740,Eau Claire Municipal Water Utility,AB,Muni,29441,668,1205,638,29542,3538,26454,2055,105,149,0,537,0,225,17,29542,
2024,1750,Edgar Municipal Water Utility,D,Muni,548,137,152,14,547,4,456,61,0,16,0,0,0,14,0,547,
2024,1760,Edgerton Municipal Water Utility,C,Muni,2481,160,92,2,2551,34,2141,164,16,25,0,134,0,71,0,2551,
2024,1770,Elcho Sanitary District No 1,D,Sani,217,2,0,-2,217,0,166,33,5,6,0,2,0,5,0,217,
2024,1780,Eleva Municipal Water Utility,D,Muni,304,20,4,0,320,0,262,31,0,5,0,0,0,22,0,320,
2024,1790,Elkhart Lake Water Department,D,Muni,824,71,13,-1,881,21,586,64,8,17,0,73,0,133,0,881,
2024,1800,Elkhorn Light And Water,AB,Muni,4412,6,185,60,4293,199,3562,415,31,58,0,51,0,170,6,4293,
2024,1810,Elk Mound Municipal Water and Sewer Utility,D,Muni,409,0,0,0,409,7,349,33,0,10,0,0,0,17,0,409,
2024,1820,Ellsworth Municipal Water And Sewer Utility,C,Muni,1514,70,70,5,1519,25,1084,156,9,40,0,38,0,192,0,1519,
2024,1850,Elroy Municipal Electric And Water Utility,C,Muni,654,49,15,-32,656,49,546,70,8,16,0,6,0,8,2,656,
2024,1860,Embarrass Water And Sewer Utility,D,Muni,171,2,2,0,171,2,152,12,1,1,0,1,0,4,0,171,
2024,1870,Ettrick Municipal Water And Sewer Utility,D,Muni,260,0,2,0,258,0,191,27,2,10,0,11,0,17,0,258,
2024,1880,City of Evansville Water and Light,C,Muni,2595,29,1,-33,2590,0,2281,189,8,26,0,14,0,55,15,2590,
2024,1885,Exeland Municipal Water Utility,D,Muni,211,7,0,0,218,0,85,21,0,8,0,0,0,104,0,218,
2024,1890,Fairchild Municipal Water Utility,D,Muni,237,0,8,0,229,13,171,10,0,11,0,7,0,25,0,229,
2024,1900,Fairwater Municipal Water Utility,D,Muni,173,8,3,0,178,4,146,10,5,2,0,2,0,13,0,178,
2024,1920,Fall Creek Municipal Water Utility,D,Muni,589,7,0,0,596,9,521,32,1,11,0,6,0,5,16,596,
2024,1930,Fall River Municipal Water Utility,D,Muni,708,8,2,1,715,1,624,38,24,8,0,9,0,11,1,715,
2024,1980,Fennimore Water And Light Plant,C,Muni,1219,14,7,0,1226,0,989,131,5,65,0,12,0,0,24,1226,
2024,1985,Fifield Sanitary District,D,Sani,149,0,0,0,149,0,119,19,1,7,0,0,0,3,0,149,
2024,1990,Fitchburg Water Utility,AB,Muni,7563,627,191,0,7999,61,6383,388,31,37,0,348,511,301,0,7999,
2024,2000,Florence Utility Commission,AB,Muni,512,269,55,0,726,87,304,69,0,14,0,6,0,330,0,726,
2024,2010,Fond Du Lac Water Utility,AB,Muni,17122,870,731,86,17347,1743,14460,1352,67,100,0,253,0,659,420,17347,
2024,2020,Fontana Municipal Water Utility,C,Muni,2323,123,123,0,2323,47,2060,166,0,14,0,40,0,40,0,2323,
2024,2040,Footville Water Utility,D,Muni,362,0,0,0,362,2,315,29,4,4,0,0,0,10,0,362,
2024,2045,Forest Junction Utilities,D,Sani,384,120,104,0,400,104,272,18,0,2,0,5,0,103,0,400,
2024,2060,City of Fort Atkinson Water Utility,AB,Muni,4852,168,151,0,4869,0,4265,440,22,49,0,93,0,0,0,4869,
2024,2070,Fountain City Water Utility,D,Muni,189,26,28,0,187,0,128,34,0,6,0,16,0,3,0,187,
2024,2080,City of Fox Lake Water Utility,D,Muni,942,78,50,0,970,0,668,67,8,15,0,16,0,0,196,970,
2024,2090,Village of Fox Point Water Utility,C,Muni,2525,0,13,0,2512,6,2386,61,0,8,0,19,0,38,0,2512,
2024,2105,Franklin Municipal Water Utility,AB,Muni,9437,588,409,0,9616,260,7909,359,27,35,0,314,183,745,28,9616,
2024,2110,Frederic Water Commission,D,Muni,662,6,2,-108,558,0,402,66,15,19,0,12,6,5,19,558,
2024,2130,Fredonia Municipal Water Utility,D,Muni,1035,0,0,0,1035,69,755,34,25,12,0,21,0,2,185,1035,
2024,2135,Freedom Sanitary District No 1,C,Sani,1192,62,11,0,1243,109,1064,89,6,23,0,21,0,38,0,1243,
2024,2140,Village of Friendship Water Utility,D,Muni,483,342,0,-2,823,6,270,49,2,12,0,3,0,345,141,823,
2024,2150,Friesland Municipal Water Utility,D,Muni,162,41,61,0,142,60,120,12,0,3,0,1,0,6,0,142,
2024,2157,Fulton Water Utility,D,Muni,183,0,0,0,183,2,172,0,0,0,0,0,0,9,0,183,
2024,2160,City of Galesville Municipal Water and Sewer Utility,D,Muni,809,54,62,0,801,6,661,76,9,23,0,6,0,26,0,801,
2024,2170,Village of Gays Mills Municipal Water Utility,D,Muni,283,98,55,-14,312,9,170,28,0,15,0,6,0,93,0,312,
2024,2190,Genoa Municipal Water And Sewer Utility,D,Muni,125,0,0,0,125,9,105,12,0,3,0,4,0,0,0,125,
2024,2200,Village of Genoa City Municipal Water Utility,C,Muni,1226,3,25,-13,1191,106,1031,82,28,13,0,6,0,31,0,1191,
2024,2210,Germantown Water Utility,AB,Muni,5989,19,0,-11,5997,6,5143,470,25,34,0,149,0,112,64,5997,
2024,2220,Gillett Water And Sewer Commission,D,Muni,682,0,0,0,682,3,509,65,24,25,0,10,0,0,49,682,
2024,2230,Gilman Water Utility,D,Muni,195,0,0,0,195,6,145,28,2,11,0,3,0,6,0,195,
2024,2250,Glenbeulah Municipal Water Utility,D,Muni,252,24,11,0,265,0,215,13,0,5,0,2,0,21,9,265,
2024,2260,Glendale Water Utility,AB,Muni,4480,7,3,1,4485,52,3942,317,32,26,0,130,0,38,0,4485,
2024,2270,Glenwood City Municipal Water Utility,D,Muni,506,4,4,0,506,2,413,57,0,15,0,7,0,14,0,506,
2024,2280,Glidden Sanitary District,D,Sani,273,1,3,0,271,30,228,21,3,7,0,12,0,0,0,271,
2024,2288,Goodman Sanitary District #1,D,Sani,170,0,4,0,166,52,131,6,7,5,0,3,0,14,0,166,
2024,2300,Grafton Water and Wastewater Utility,AB,Muni,6110,1268,11,-567,6800,12,4888,255,67,31,0,75,170,1136,143,6800,
2024,2310,Town of Grand Chute Sanitary District 1,AB,Sani,9581,1300,1253,0,9628,1655,7603,1181,18,28,0,365,0,428,5,9628,
2024,2330,Village of Grantsburg Municipal Water Utility,D,Muni,642,27,27,0,642,26,497,82,13,33,0,15,0,2,0,642,
2024,2340,Gratiot Municipal Water Utility,D,Muni,116,4,4,0,116,12,90,12,0,10,0,0,0,4,0,116,
2024,2350,Green Bay Water Utility,AB,Muni,37929,2449,2077,-2,38299,2553,32364,2286,155,223,0,1203,0,1770,289,38299,
2024,2360,Village of Greendale Water Utility,AB,Muni,5260,61,66,-337,4918,2,4363,199,35,21,0,197,0,84,19,4918,
2024,2370,City of Green Lake Water Utility,D,Muni,841,7,1,-5,842,0,664,102,3,22,0,15,0,36,0,842,
2024,2375,Greenville Utilities,C,Muni,4167,465,376,0,4256,27,3831,169,150,56,0,0,0,48,0,4256,
2024,2380,City of Greenwood Water Utility,D,Muni,538,0,5,-18,515,5,409,46,4,16,0,15,0,25,0,515,
2024,2410,Gresham Municipal Water And Sewer Utility,D,Muni,293,0,3,0,290,5,235,29,1,2,0,4,0,11,1,290,
2024,2428,Village of Lake Hallie Public Works,C,Muni,2118,68,68,61,2179,14,1981,188,1,6,0,0,0,3,0,2179,
2024,2430,Hammond Municipal Water Utility,D,Muni,891,1,41,10,861,2,617,41,12,16,0,8,0,78,89,861,
2024,2450,Hancock Municipal Water Utility,D,Muni,181,0,0,1,182,25,157,19,0,6,0,0,0,0,0,182,
2024,2460,Harmony Grove Sanitary District #1,D,Sani,768,50,47,0,771,45,723,7,0,1,0,0,0,4,36,771,
2024,2470,City of Hartford Utilities,AB,Muni,7809,696,729,-280,7496,32,5717,292,96,68,0,145,0,1158,8,7496,
2024,2480,Hartland Municipal Water Utility,C,Muni,3326,4,0,0,3330,443,2764,251,71,26,0,98,0,120,0,3330,
2024,2483,Village of Hatley Water Utility,D,Muni,280,19,18,0,281,0,229,12,0,7,0,0,0,32,0,281,
2024,2485,Village of Haugen Water Utility,D,Muni,151,0,0,0,151,0,121,14,0,5,0,0,0,11,0,151,
2024,2490,Hawkins Municipal Water And Sewer Utility,D,Muni,271,1,76,4,200,0,159,17,5,8,0,1,0,4,5,200,
2024,2500,City of Hayward Waterworks And Sewer,C,Muni,1393,54,42,0,1405,10,919,318,4,33,0,26,0,22,83,1405,
2024,2510,Hazel Green Municipal Utility,C,Muni,554,11,10,0,555,0,483,54,2,13,0,0,0,0,3,555,
2024,2530,Highland Municipal Water Utility,D,Muni,420,16,5,0,431,0,344,46,0,12,0,4,0,25,0,431,
2024,2540,Hilbert Municipal Water Utility,D,Muni,524,5,7,-4,518,48,404,37,5,10,0,7,0,53,0,518,
2024,2550,Hillsboro Municipal Water Utility,D,Muni,678,3,12,0,669,16,553,75,3,24,0,3,0,11,0,669,
2024,2570,Hixton Municipal Water Utility,D,Muni,257,35,35,1,258,41,165,41,0,8,0,0,0,44,0,258,
2024,2573,Village of Hobart Water Utility,C,Muni,2198,2,4,0,2196,215,2003,114,0,6,0,67,0,3,0,2196,
2024,2575,Town of Holland Sanitary District #1,D,Sani,257,0,3,0,254,1,215,6,1,0,0,0,0,29,0,254,
2024,2580,Hollandale Water Utility,D,Muni,151,1,1,0,151,0,109,19,0,7,0,0,0,16,0,151,
2024,2590,Holmen Municipal Water Utility,C,Muni,4342,260,81,-14,4507,307,3913,205,46,42,0,58,0,155,88,4507,
2024,2600,City of Horicon Water Utility,C,Muni,1928,163,242,-26,1823,25,1492,112,23,27,0,24,1,123,21,1823,
