Year,Utility ID,Name,Class,Owner,Size of Meter,First of Year,Added During Year,Retired During Year,Adjustments Increase or (Decrease),End of Year,Tested During Year,Residential,Commercial,Industrial,Public Authority,Wholesale Interdepartment or Utility Use,Multifamily Residential,Irrigation,Wholesale,Inter-D or Utility Use,In Stock and Deduct Meters,Total,
2024,30,Adell Municipal Sewer And Water Utility,D,Muni,2.000,3,,,,3,0,,2,1,,,,,,,,3,
2024,30,Adell Municipal Sewer And Water Utility,D,Muni,3.000,1,,,,1,0,,,,,1,,,,,,1,
2024,40,Albany Municipal Water And Sewer Utility,D,Muni,0.625,459,,,10,469,0,406,35,2,14,,,,,,9,469,
2024,40,Albany Municipal Water And Sewer Utility,D,Muni,1.000,5,,,2,7,0,2,2,,,,,,,,3,7,
2024,40,Albany Municipal Water And Sewer Utility,D,Muni,1.500,5,,,,5,0,,4,,,,,,,,1,5,
2024,40,Albany Municipal Water And Sewer Utility,D,Muni,3.000,2,,,,2,0,,1,,1,,,,,,,2,
2024,40,Albany Municipal Water And Sewer Utility,D,Muni,4.000,2,,,,2,0,,,,2,,,,,,,2,
2024,50,Algoma Utility Commission,AB,Muni,0.625,1835,216,334,,1717,248,1389,133,7,6,,8,,,,139,1717,
2024,50,Algoma Utility Commission,AB,Muni,1.000,49,,1,,48,0,1,25,3,8,,5,,,,6,48,
2024,50,Algoma Utility Commission,AB,Muni,1.500,24,,,,24,9,1,15,,3,1,4,,,,,24,
2024,50,Algoma Utility Commission,AB,Muni,2.000,15,,,,15,2,,6,1,2,,5,,,,1,15,
2024,50,Algoma Utility Commission,AB,Muni,3.000,4,,,,4,4,,1,,2,,,,,,1,4,
2024,50,Algoma Utility Commission,AB,Muni,4.000,1,,,,1,0,,,,,,,,,,1,1,
2024,51,Algoma Sanitary District No 1,C,Sani,0.625,1165,208,169,2,1206,208,1174,6,,2,,,,,,24,1206,
2024,51,Algoma Sanitary District No 1,C,Sani,0.750,240,30,2,-2,266,30,246,3,,,,,,,,17,266,
2024,51,Algoma Sanitary District No 1,C,Sani,1.000,35,2,1,,36,2,30,2,,2,,,,,,2,36,
2024,51,Algoma Sanitary District No 1,C,Sani,1.500,2,,,,2,0,1,,,1,,,,,,,2,
2024,51,Algoma Sanitary District No 1,C,Sani,2.000,8,1,,,9,3,,5,,2,,,,,,2,9,
2024,51,Algoma Sanitary District No 1,C,Sani,3.000,2,,,,2,0,,1,,,1,,,,,,2,
2024,51,Algoma Sanitary District No 1,C,Sani,4.000,3,,,,3,0,,1,,,2,,,,,,3,
2024,60,Allenton Sanitary District No 1,D,Sani,0.625,362,,,,362,0,271,15,2,1,,2,,,,71,362,
2024,60,Allenton Sanitary District No 1,D,Sani,1.000,15,,,,15,0,,4,1,1,,3,,,,6,15,
2024,60,Allenton Sanitary District No 1,D,Sani,1.500,18,,,,18,3,,3,1,,,6,,,,8,18,
2024,60,Allenton Sanitary District No 1,D,Sani,2.000,4,,,,4,0,,,1,2,,,,,,1,4,
2024,60,Allenton Sanitary District No 1,D,Sani,4.000,2,,,,2,0,,,2,,,,,,,,2,
2024,70,Village of Allouez Water Department,AB,Muni,0.750,5407,,7,,5400,0,5293,80,,5,,1,,,,21,5400,
2024,70,Village of Allouez Water Department,AB,Muni,1.000,106,,,1,107,0,41,34,,9,,,,,,23,107,
2024,70,Village of Allouez Water Department,AB,Muni,1.500,61,2,,3,66,45,2,47,,2,,10,,,,5,66,
2024,70,Village of Allouez Water Department,AB,Muni,2.000,40,,3,-3,34,15,,19,,3,,5,,,,7,34,
2024,70,Village of Allouez Water Department,AB,Muni,3.000,16,,,,16,10,,9,,3,,1,,,,3,16,
2024,70,Village of Allouez Water Department,AB,Muni,4.000,1,,,,1,0,,,,,,1,,,,,1,
2024,70,Village of Allouez Water Department,AB,Muni,6.000,2,,,,2,2,,,,2,,,,,,,2,
2024,80,Alma Municipal Water Utility,D,Muni,0.750,318,18,,,336,0,224,73,,6,,,,,,33,336,
2024,80,Alma Municipal Water Utility,D,Muni,1.000,4,,,,4,0,,2,,2,,,,,,,4,
2024,80,Alma Municipal Water Utility,D,Muni,1.500,4,,,,4,0,,4,,,,,,,,,4,
2024,80,Alma Municipal Water Utility,D,Muni,2.000,5,,,,5,0,,3,,2,,,,,,,5,
2024,80,Alma Municipal Water Utility,D,Muni,4.000,1,,,,1,0,,,,1,,,,,,,1,
2024,80,Alma Municipal Water Utility,D,Muni,6.000,2,,,,2,0,,,2,,,,,,,,2,
2024,90,Alma Center Water Utility,D,Muni,0.625,315,,8,-182,125,0,79,22,,6,,18,,,,,125,
2024,90,Alma Center Water Utility,D,Muni,0.750,0,,,182,182,0,105,,,,,,,,,77,182,
2024,90,Alma Center Water Utility,D,Muni,1.000,4,,,,4,0,,2,,1,,1,,,,,4,
2024,90,Alma Center Water Utility,D,Muni,1.500,2,,,,2,2,,,,2,,,,,,,2,
2024,90,Alma Center Water Utility,D,Muni,2.000,2,,,,2,2,,,,2,,,,,,,2,
2024,90,Alma Center Water Utility,D,Muni,3.000,1,,,,1,1,,,,1,,,,,,,1,
2024,100,Almena Municipal Water Utility,D,Muni,0.625,316,47,4,,359,0,281,29,,7,,4,,,,38,359,
2024,100,Almena Municipal Water Utility,D,Muni,0.750,63,,63,,0,0,,,,,,,,,,,0,
2024,100,Almena Municipal Water Utility,D,Muni,1.000,7,,,,7,0,,6,,,,,,,,1,7,
2024,100,Almena Municipal Water Utility,D,Muni,1.500,4,,,,4,0,,1,,,,3,,,,,4,
2024,100,Almena Municipal Water Utility,D,Muni,2.000,9,,,,9,3,,4,,2,,2,,,,1,9,
2024,120,Altoona Municipal Water And Sewer Utility,C,Muni,0.625,3111,,224,353,3240,0,2314,82,,8,,2,,,,462,3240,
2024,120,Altoona Municipal Water And Sewer Utility,C,Muni,0.750,1781,32,101,662,2374,0,1295,59,,3,,,,,,289,2374,
2024,120,Altoona Municipal Water And Sewer Utility,C,Muni,1.000,188,,17,24,195,0,32,69,3,12,,14,,,,40,195,
2024,120,Altoona Municipal Water And Sewer Utility,C,Muni,1.500,24,3,0,4,31,7,,14,1,1,,6,,,,5,31,
2024,120,Altoona Municipal Water And Sewer Utility,C,Muni,2.000,42,,5,,37,10,,13,2,12,,9,,,,1,37,
2024,120,Altoona Municipal Water And Sewer Utility,C,Muni,3.000,15,2,4,,13,3,,7,,1,,3,,,,2,13,
2024,120,Altoona Municipal Water And Sewer Utility,C,Muni,4.000,3,1,,,4,0,,1,1,2,,,,,,,4,
2024,120,Altoona Municipal Water And Sewer Utility,C,Muni,6.000,5,,,-5,0,0,,,,,,,,,,,0,
2024,140,Amery Municipal Joint Water and Sewer Utility,C,Muni,0.750,1385,5,,-5,1385,96,994,91,10,34,,5,,,,97,1385,
2024,140,Amery Municipal Joint Water and Sewer Utility,C,Muni,1.000,76,,,,76,4,8,38,4,6,,4,,,,5,76,
2024,140,Amery Municipal Joint Water and Sewer Utility,C,Muni,1.500,29,,,,29,0,,10,2,7,,6,,,,2,29,
2024,140,Amery Municipal Joint Water and Sewer Utility,C,Muni,2.000,26,,,,26,0,,13,4,5,,,,,,2,26,
2024,140,Amery Municipal Joint Water and Sewer Utility,C,Muni,3.000,11,,,,11,0,,4,1,4,,2,,,,,11,
2024,140,Amery Municipal Joint Water and Sewer Utility,C,Muni,4.000,4,,,1,5,0,,1,2,2,,,,,,,5,
2024,140,Amery Municipal Joint Water and Sewer Utility,C,Muni,6.000,1,1,1,,1,0,,,,1,,,,,,,1,
2024,160,Village of Amherst Water Utility,D,Muni,0.625,661,87,80,,668,0,431,50,,19,,5,,,,11,668,
2024,160,Village of Amherst Water Utility,D,Muni,0.750,3,,,,3,0,1,2,,,,,,,,,3,
2024,160,Village of Amherst Water Utility,D,Muni,1.000,23,4,1,,26,0,,7,3,7,,7,,,,,26,
2024,160,Village of Amherst Water Utility,D,Muni,1.500,4,,,,4,0,,,1,3,,,,,,,4,
2024,160,Village of Amherst Water Utility,D,Muni,2.000,6,,,,6,0,,2,3,1,,,,,,,6,
2024,160,Village of Amherst Water Utility,D,Muni,3.000,2,,,,2,0,,,,1,1,,,,,,2,
2024,160,Village of Amherst Water Utility,D,Muni,4.000,1,,,,1,0,,,,1,,,,,,,1,
2024,180,Antigo Utilities,AB,Muni,0.625,3445,288,223,-5,3505,272,2863,349,12,7,,35,,,,239,3505,
2024,180,Antigo Utilities,AB,Muni,1.000,144,23,15,-1,151,18,2,88,10,8,,22,,,,21,151,
2024,180,Antigo Utilities,AB,Muni,1.500,54,1,2,3,56,16,,21,2,7,,22,,,,4,56,
2024,180,Antigo Utilities,AB,Muni,2.000,60,1,2,-2,57,12,,22,4,13,,15,,,,3,57,
2024,180,Antigo Utilities,AB,Muni,3.000,8,,,,8,0,,3,,3,,1,,,,1,8,
2024,180,Antigo Utilities,AB,Muni,4.000,5,,,,5,0,,,4,1,,,,,,,5,
2024,180,Antigo Utilities,AB,Muni,6.000,1,,,,1,1,,,1,,,,,,,,1,
2024,190,Appleton Water Department,AB,Muni,0.625,11292,,8,,11284,17,10847,233,1,2,,28,,,,163,11284,
2024,190,Appleton Water Department,AB,Muni,0.750,16806,100,5,,16901,315,15388,1086,24,37,,89,,,,244,16901,
2024,190,Appleton Water Department,AB,Muni,1.000,545,10,3,,552,14,25,257,9,21,,189,,,,23,552,
2024,190,Appleton Water Department,AB,Muni,1.500,335,23,,,358,71,1,113,11,17,,29,,,,179,358,
2024,190,Appleton Water Department,AB,Muni,2.000,178,26,1,,203,59,,46,10,28,,12,,,,104,203,
2024,190,Appleton Water Department,AB,Muni,3.000,77,,,,77,26,,18,8,7,,2,,,,40,77,
2024,190,Appleton Water Department,AB,Muni,4.000,22,2,,,24,4,,4,4,2,,,,,,14,24,
2024,190,Appleton Water Department,AB,Muni,6.000,7,5,1,,11,5,,,1,,,1,,3,,5,11,
2024,190,Appleton Water Department,AB,Muni,8.000,5,4,,,9,3,,,,,,1,,3,,5,9,
2024,200,Applewood Hill Water Utility,D,Priv,0.750,35,,,-2,33,0,33,,,,,,,,,,33,
2024,200,Applewood Hill Water Utility,D,Priv,1.000,7,,,1,8,0,8,,,,,,,,,,8,
2024,200,Applewood Hill Water Utility,D,Priv,2.000,2,1,,-1,2,0,,,,,2,,,,,,2,
2024,210,Arcadia Electric and Water Utility,C,Muni,0.625,1312,,17,,1295,172,1155,94,7,16,3,3,,,,17,1295,
2024,210,Arcadia Electric and Water Utility,C,Muni,0.750,3,,,,3,0,,2,,,,1,,,,,3,
2024,210,Arcadia Electric and Water Utility,C,Muni,1.000,34,,,,34,0,1,19,4,7,,3,,,,,34,
2024,210,Arcadia Electric and Water Utility,C,Muni,1.500,27,,,,27,0,,8,2,11,3,3,,,,,27,
2024,210,Arcadia Electric and Water Utility,C,Muni,2.000,39,,,,39,0,,9,10,17,2,1,,,,,39,
2024,210,Arcadia Electric and Water Utility,C,Muni,3.000,9,,,,9,0,,2,1,3,3,,,,,,9,
2024,210,Arcadia Electric and Water Utility,C,Muni,4.000,2,,,,2,0,,,1,1,,,,,,,2,
2024,210,Arcadia Electric and Water Utility,C,Muni,8.000,2,,,,2,2,,,2,,,,,,,,2,
2024,220,Arena Municipal Water Utility,D,Muni,0.625,453,12,5,-28,432,27,336,12,,5,,2,,,,22,432,
2024,220,Arena Municipal Water Utility,D,Muni,1.000,8,1,,,9,0,,5,,,1,1,,,,2,9,
2024,220,Arena Municipal Water Utility,D,Muni,1.500,8,,,,8,0,,,1,3,,1,,,,3,8,
2024,220,Arena Municipal Water Utility,D,Muni,2.000,2,,,,2,0,,,1,,,,,,,1,2,
2024,230,Argyle Municipal Electric and Water Utility,C,Muni,0.750,403,1,1,-22,381,0,321,40,,,,6,,,,14,381,
2024,230,Argyle Municipal Electric and Water Utility,C,Muni,1.000,8,,,4,12,3,,7,,,,4,,,,1,12,
2024,230,Argyle Municipal Electric and Water Utility,C,Muni,1.500,2,1,,,3,1,,,1,1,,,,,,1,3,
2024,230,Argyle Municipal Electric and Water Utility,C,Muni,2.000,6,,,-3,3,1,,,,2,,1,,,,,3,
2024,230,Argyle Municipal Electric and Water Utility,C,Muni,3.000,1,,,,1,1,,,,1,,,,,,,1,
2024,240,Arlington Water Utility,D,Muni,0.750,415,204,33,,586,31,341,28,3,2,,,,,,212,586,
2024,240,Arlington Water Utility,D,Muni,1.000,5,,1,,4,1,,2,1,1,,,,,,,4,
2024,240,Arlington Water Utility,D,Muni,1.500,3,4,,,7,0,,3,1,,,,,,,3,7,
2024,240,Arlington Water Utility,D,Muni,2.000,1,,,,1,1,,,,1,,,,,,,1,
2024,240,Arlington Water Utility,D,Muni,3.000,2,,,,2,2,,,,,2,,,,,,2,
2024,250,Ashland Water Utility,AB,Muni,0.625,3047,3,496,-90,2464,0,1629,106,,5,,21,,,15,686,2464,
2024,250,Ashland Water Utility,AB,Muni,0.750,1960,9,281,-99,1589,0,890,139,3,13,,27,,,82,432,1589,
2024,250,Ashland Water Utility,AB,Muni,1.000,172,9,44,,137,0,,57,4,7,,16,,,7,38,137,
2024,250,Ashland Water Utility,AB,Muni,1.500,87,2,38,1,52,1,,23,,7,,13,,,4,5,52,
2024,250,Ashland Water Utility,AB,Muni,2.000,130,7,41,5,101,6,,29,5,9,5,18,,,,34,101,
2024,250,Ashland Water Utility,AB,Muni,3.000,39,,14,,25,8,,9,1,6,,2,,,,6,25,
2024,250,Ashland Water Utility,AB,Muni,4.000,4,,0,,4,3,,2,,1,,,,,,1,4,
2024,255,Ashwaubenon Water And Sewer Utility,AB,Muni,0.625,6981,1102,1068,,7015,3,4778,774,7,5,,1083,,,,368,7015,
2024,255,Ashwaubenon Water And Sewer Utility,AB,Muni,1.000,295,39,41,,293,1,14,222,6,12,,4,,,,35,293,
2024,255,Ashwaubenon Water And Sewer Utility,AB,Muni,1.500,198,15,14,,199,32,,176,2,6,,,,,,15,199,
2024,255,Ashwaubenon Water And Sewer Utility,AB,Muni,2.000,190,10,9,,191,16,,152,15,12,,,,,,12,191,
2024,255,Ashwaubenon Water And Sewer Utility,AB,Muni,3.000,69,2,0,,71,39,,57,5,7,,,,,,2,71,
2024,255,Ashwaubenon Water And Sewer Utility,AB,Muni,4.000,25,,0,,25,7,,16,7,2,,,,,,,25,
2024,255,Ashwaubenon Water And Sewer Utility,AB,Muni,6.000,10,,1,,9,9,,4,5,,,,,,,,9,
2024,255,Ashwaubenon Water And Sewer Utility,AB,Muni,8.000,1,,0,,1,1,,1,,,,,,,,,1,
2024,260,Athens Municipal Water Utility,D,Muni,0.625,462,40,37,,465,0,405,40,3,5,,3,,,,7,465,
2024,260,Athens Municipal Water Utility,D,Muni,1.000,17,,,,17,0,,5,,4,,6,,,,2,17,
2024,260,Athens Municipal Water Utility,D,Muni,1.500,7,2,,,9,0,,3,,2,,2,,,,2,9,
2024,260,Athens Municipal Water Utility,D,Muni,2.000,3,,,,3,0,,1,1,1,,,,,,,3,
2024,260,Athens Municipal Water Utility,D,Muni,3.000,1,,,,1,0,,,,1,,,,,,,1,
2024,270,City of Augusta Municipal Water and Sewer Utility,D,Muni,0.625,690,,,,690,0,515,42,4,17,,2,,,,102,690,
2024,270,City of Augusta Municipal Water and Sewer Utility,D,Muni,1.000,23,,1,,22,0,,5,2,3,,5,,,,7,22,
2024,270,City of Augusta Municipal Water and Sewer Utility,D,Muni,1.250,2,,,,2,0,,,1,,,,,,,1,2,
2024,270,City of Augusta Municipal Water and Sewer Utility,D,Muni,1.500,6,,,,6,0,,1,,2,,2,,,,1,6,
2024,270,City of Augusta Municipal Water and Sewer Utility,D,Muni,2.000,14,1,1,,14,0,,2,2,5,,2,,,,3,14,
2024,270,City of Augusta Municipal Water and Sewer Utility,D,Muni,3.000,3,,,,3,0,,,1,1,,,,,,1,3,
2024,270,City of Augusta Municipal Water and Sewer Utility,D,Muni,4.000,2,,,,2,0,,,,2,,,,,,,2,
2024,270,City of Augusta Municipal Water and Sewer Utility,D,Muni,6.000,2,,,,2,2,,,2,,,,,,,,2,
2024,280,Avoca Municipal Water Utility,D,Muni,0.625,343,12,3,-36,316,0,293,8,,6,,,,,,9,316,
2024,280,Avoca Municipal Water Utility,D,Muni,1.500,5,,,,5,0,,3,,2,,,,,,,5,
2024,310,Bagley Municipal Water Utility,D,Muni,0.625,395,25,12,,408,0,347,12,,5,,,,,,28,408,
2024,310,Bagley Municipal Water Utility,D,Muni,1.000,3,,,,3,0,,1,,1,1,,,,,,3,
2024,310,Bagley Municipal Water Utility,D,Muni,1.500,1,,,,1,0,,,,,,1,,,,,1,
2024,310,Bagley Municipal Water Utility,D,Muni,2.000,3,,,1,4,0,,4,,,,,,,,,4,
2024,320,Baldwin Municipal Water Utility,C,Muni,0.625,1852,772,885,232,1971,25,1817,106,9,8,,1,,,,30,1971,
2024,320,Baldwin Municipal Water Utility,C,Muni,1.000,44,19,34,11,40,0,4,19,6,6,,2,,,,3,40,
2024,320,Baldwin Municipal Water Utility,C,Muni,1.250,1,,,,1,0,,,,,,,,,,1,1,
2024,320,Baldwin Municipal Water Utility,C,Muni,1.500,24,10,11,-7,16,11,,12,3,,,,,,,1,16,
2024,320,Baldwin Municipal Water Utility,C,Muni,2.000,33,17,17,-8,25,18,,12,2,7,,2,,,,2,25,
2024,320,Baldwin Municipal Water Utility,C,Muni,3.000,10,,2,2,10,3,,5,,4,,,,,,1,10,
2024,320,Baldwin Municipal Water Utility,C,Muni,4.000,1,,,,1,0,,1,,,,,,,,,1,
2024,320,Baldwin Municipal Water Utility,C,Muni,6.000,1,,,,1,1,,,,1,,,,,,,1,
2024,340,Balsam Lake Municipal Water Utility,D,Muni,0.750,525,4,7,,522,5,480,34,2,6,,,,,,,522,
2024,340,Balsam Lake Municipal Water Utility,D,Muni,1.000,21,1,1,1,22,2,4,7,4,2,,3,,,,,22,
2024,340,Balsam Lake Municipal Water Utility,D,Muni,1.500,8,,,,8,0,1,4,,1,,1,,,,,8,
2024,340,Balsam Lake Municipal Water Utility,D,Muni,2.000,14,,,,14,2,,3,1,4,,6,,,,,14,
2024,340,Balsam Lake Municipal Water Utility,D,Muni,3.000,2,,,,2,2,,,,2,,,,,,,2,
2024,340,Balsam Lake Municipal Water Utility,D,Muni,4.000,3,,,,3,1,,,,1,,2,,,,,3,
2024,340,Balsam Lake Municipal Water Utility,D,Muni,6.000,1,,,,1,1,,,,,,1,,,,,1,
2024,350,Bangor Municipal Utility,C,Muni,0.625,659,,2,1,658,0,572,34,,7,,15,,,,14,658,
2024,350,Bangor Municipal Utility,C,Muni,1.000,24,,,,24,0,1,9,,2,,9,,,,2,24,
2024,350,Bangor Municipal Utility,C,Muni,1.500,2,,,,2,0,,1,,,,1,,,,,2,
2024,350,Bangor Municipal Utility,C,Muni,2.000,5,1,1,,5,0,,,,1,,3,,,,,5,
2024,350,Bangor Municipal Utility,C,Muni,3.000,2,,,,2,0,,,,1,,,,,,1,2,
2024,350,Bangor Municipal Utility,C,Muni,4.000,1,,,,1,0,,,,,,,,,,,1,
2024,360,City of Baraboo Water Utility,AB,Muni,0.625,4668,86,23,,4731,86,4390,276,8,19,,12,,,,26,4731,
2024,360,City of Baraboo Water Utility,AB,Muni,0.750,147,4,1,,150,4,75,59,4,3,,7,,,,2,150,
2024,360,City of Baraboo Water Utility,AB,Muni,1.000,91,6,3,,94,6,8,48,7,7,,19,,,,5,94,
2024,360,City of Baraboo Water Utility,AB,Muni,1.500,79,2,2,,79,17,,32,7,10,,29,,,,1,79,
2024,360,City of Baraboo Water Utility,AB,Muni,2.000,62,,0,,62,19,,27,7,16,,11,,,,1,62,
2024,360,City of Baraboo Water Utility,AB,Muni,3.000,19,1,0,,20,7,,5,,10,,3,,,,2,20,
2024,360,City of Baraboo Water Utility,AB,Muni,4.000,8,,0,,8,3,,1,2,1,,3,,,,1,8,
2024,360,City of Baraboo Water Utility,AB,Muni,6.000,3,1,1,,3,3,,,1,1,,1,,,,,3,
2024,370,Barneveld Municipal Water Utility,D,Muni,0.625,393,,,,393,0,379,11,,2,,1,,,,,393,
2024,370,Barneveld Municipal Water Utility,D,Muni,0.750,148,,,1,149,0,95,6,1,2,,,,,,45,149,
2024,370,Barneveld Municipal Water Utility,D,Muni,1.000,24,1,,-1,24,0,,15,3,1,,1,,,,4,24,
2024,370,Barneveld Municipal Water Utility,D,Muni,1.500,12,,1,,11,0,,3,1,,,5,,,,2,11,
2024,370,Barneveld Municipal Water Utility,D,Muni,2.000,7,1,,,8,0,,3,2,1,,1,,,,1,8,
2024,370,Barneveld Municipal Water Utility,D,Muni,3.000,2,,,,2,0,,,1,1,,,,,,,2,
2024,370,Barneveld Municipal Water Utility,D,Muni,4.000,0,1,,,1,0,,,,,,,,,,1,1,
2024,380,Barron Light And Water Utility,C,Muni,0.625,1376,72,75,,1373,0,1077,114,,8,,21,,,,153,1373,
2024,380,Barron Light And Water Utility,C,Muni,1.000,59,24,5,,78,0,4,29,,6,2,7,,,,27,78,
2024,380,Barron Light And Water Utility,C,Muni,1.500,25,,,,25,12,,10,1,3,,11,,,,,25,
2024,380,Barron Light And Water Utility,C,Muni,2.000,33,1,,,34,15,,14,,7,,9,,,1,2,34,
2024,380,Barron Light And Water Utility,C,Muni,3.000,21,,,,21,10,,6,,12,1,1,,,,1,21,
2024,380,Barron Light And Water Utility,C,Muni,4.000,1,,,,1,1,,,,1,,,,,,,1,
2024,380,Barron Light And Water Utility,C,Muni,6.000,4,,,,4,4,,,4,,,,,,,,4,
2024,381,Village of Bay City Water Utility,D,Muni,0.750,178,11,11,,178,11,137,12,,4,,1,,,,24,178,
2024,381,Village of Bay City Water Utility,D,Muni,1.500,4,,,,4,0,,1,,2,,1,,,,,4,
2024,381,Village of Bay City Water Utility,D,Muni,2.000,3,,,1,4,0,,1,,1,,2,,,,,4,
2024,381,Village of Bay City Water Utility,D,Muni,3.000,1,,,,1,0,,,,,,,,,,1,1,
2024,385,Bayfield Water and Sewer Utility,D,Muni,0.625,191,4,,,195,0,150,20,,13,,,,,,12,195,
2024,385,Bayfield Water and Sewer Utility,D,Muni,0.750,235,6,1,,240,0,158,62,,6,,,,,,14,240,
2024,385,Bayfield Water and Sewer Utility,D,Muni,1.000,69,5,1,,73,5,34,33,,3,,,,,,3,73,
2024,385,Bayfield Water and Sewer Utility,D,Muni,1.500,17,,,,17,0,,11,,6,,,,,,,17,
2024,385,Bayfield Water and Sewer Utility,D,Muni,2.000,14,,,,14,2,,10,,4,,,,,,,14,
2024,385,Bayfield Water and Sewer Utility,D,Muni,3.000,1,,,,1,0,,,,1,,,,,,,1,
2024,395,Bear Creek Water Utility,D,Muni,0.625,150,,,2,152,0,135,8,1,4,,,,,,3,152,
2024,395,Bear Creek Water Utility,D,Muni,0.750,1,,,,1,0,,1,,,,,,,,,1,
2024,395,Bear Creek Water Utility,D,Muni,1.000,7,,,,7,0,,1,,,,2,,,,4,7,
2024,395,Bear Creek Water Utility,D,Muni,1.500,3,,,,3,0,,1,2,,,,,,,,3,
2024,395,Bear Creek Water Utility,D,Muni,2.000,2,,,,2,0,,,1,,,1,,,,,2,
2024,400,Beaver Dam Water Utility,AB,Muni,0.625,6712,300,419,23,6616,502,6103,368,21,20,,7,,,,35,6616,
2024,400,Beaver Dam Water Utility,AB,Muni,0.750,1,,,,1,0,,,1,,,,,,,,1,
2024,400,Beaver Dam Water Utility,AB,Muni,1.000,164,3,3,,164,9,15,93,10,7,,19,,,,8,164,
2024,400,Beaver Dam Water Utility,AB,Muni,1.500,119,5,,-1,123,5,,46,2,8,,54,,,,8,123,
2024,400,Beaver Dam Water Utility,AB,Muni,2.000,82,2,,1,85,2,,33,11,8,,21,,,,8,85,
2024,400,Beaver Dam Water Utility,AB,Muni,3.000,20,1,1,3,23,6,,5,3,5,,7,,,,3,23,
2024,400,Beaver Dam Water Utility,AB,Muni,4.000,9,,,,9,5,,1,5,1,,1,,,,1,9,
2024,405,Beaver Brook Sanitary District No 1,D,Sani,0.625,81,2,,,83,0,69,13,,1,,,,,,,83,
2024,405,Beaver Brook Sanitary District No 1,D,Sani,1.000,10,,,,10,0,,10,,,,,,,,,10,
2024,405,Beaver Brook Sanitary District No 1,D,Sani,1.500,3,,,,3,0,,2,,1,,,,,,,3,
2024,410,Belgium Municipal Water Utility,C,Muni,0.750,1076,27,1,,1102,0,945,32,12,7,,37,,,,21,1102,
2024,410,Belgium Municipal Water Utility,C,Muni,1.000,27,2,1,-1,27,0,,15,2,3,,7,,,,,27,
2024,410,Belgium Municipal Water Utility,C,Muni,1.500,8,,0,,8,0,,2,2,2,,2,,,,,8,
2024,410,Belgium Municipal Water Utility,C,Muni,2.000,6,,0,,6,0,,2,1,1,,,,,,2,6,
2024,410,Belgium Municipal Water Utility,C,Muni,3.000,2,,0,,2,0,,,1,1,,,,,,,2,
2024,410,Belgium Municipal Water Utility,C,Muni,4.000,1,,0,,1,0,,,1,,,,,,,,1,
2024,420,Belleville Municipal Water and Sewer Utility,C,Muni,0.750,1174,51,1,55,1279,0,1134,77,2,10,,1,,,,55,1279,
2024,420,Belleville Municipal Water and Sewer Utility,C,Muni,1.000,30,1,,,31,0,1,14,2,6,,8,,,,,31,
2024,420,Belleville Municipal Water and Sewer Utility,C,Muni,1.500,21,,,,21,0,,8,,7,,6,,,,,21,
2024,420,Belleville Municipal Water and Sewer Utility,C,Muni,2.000,9,,,,9,0,,3,1,4,,1,,,,,9,
