Year,Utility ID,Name,Class,Type,Disconnection Notices End Of Q1,Disconnection Notices End Of Q2,Disconnection Notices End Of Q3,Disconnection Notices End Of Q4,Disconnections End Of Q1,Disconnections End Of Q2,Disconnections End Of Q3,Disconnections End Of Q4,Customers with Arrears End Of Q1,Amount of Arrears End of Q1,Customers with Arrears End Of Q2,Amount of Arrears End of Q2,Customers with Arrears End Of Q3,Amount of Arrears End of Q3,Customers with Arrears End of Q4,Amount of Arrears End of Q4,Added to Tax Roll,Amount Added to Tax Rol,
2024,4480,City of Oshkosh Water Utility,AB,Water,0,0,0,0,0,0,0,0,5888,1876370,5685,2362667,5440,2901132,4897,1161117,1711,1631990,
2024,4440,Oregon Municipal Water And Sewer Utility,AB,Water,0,0,0,0,0,0,0,0,571,26468,555,31993,560,37918,501,20217,102,18029,
2024,4410,Onalaska Municipal Water Utility,AB,Water,0,0,0,0,0,0,0,0,620,156397,584,217156,638,281710,283,22978,278,58860,
2024,4340,City of Oconomowoc Utilities,AB,Water,0,12,12,4,0,0,0,0,1744,39510,1644,16357,1781,23158,1753,35061,68,2580,
2024,4310,Oak Creek Water and Sewer Utility,AB,Water,0,0,0,0,0,0,0,0,1599,209386,1530,288127,1593,388094,1503,134096,570,199629,
2024,4130,New London Electric and Water Utility,AB,Water,921,0,0,604,21,0,0,15,0,0,0,0,0,0,0,9757,27,6781,
2024,4090,New Berlin Water Utility,AB,Water,0,0,0,0,0,0,0,0,1214,356094,1244,489735,1230,603363,1060,217085,613,153435,
2024,4030,City of Neenah Water Utility,AB,Water,0,0,0,0,0,0,0,0,693,196418,909,257579,1084,307280,481,136371,870,246653,
2024,3820,Monroe Municipal Water Utility,AB,Water,568,740,773,724,2,7,4,2,13,3318,14,3416,13,3255,12,3201,11,4071,
2024,3720,Milwaukee Water Works,AB,Water,23512,56411,86307,93018,0,0,0,0,35342,6225177,37149,8498596,34068,9550895,28556,4511714,15801,8850323,
2024,3640,Middleton Municipal Water Utility,AB,Water,0,0,0,0,0,0,0,0,647,142930,742,145233,742,148974,364,65625,145,83841,
2024,3595,Mequon Municipal Water Utility,AB,Water,0,0,0,0,0,0,0,0,586,100714,454,104511,585,119429,425,67399,52,25115,
2024,3590,City of Menomonie Water Department,AB,Water,642,667,564,366,0,12,9,0,65,7859,67,31747,60,27385,37,4696,27,5294,
2024,3580,Village of Menomonee Falls Water Utility,AB,Water,0,0,0,0,0,0,0,0,2872,182912,2578,240212,3070,218995,4144,106848,483,115019,
2024,3560,Menasha Electric and Water Utilities,AB,Water,4416,3845,4593,5167,127,27,7,88,4416,327952,3845,312065,4593,130197,5167,354412,31,6307,
2024,3550,Fox Crossing Utilities,AB,Water,0,0,0,0,0,0,0,0,452,122369,468,156869,594,189421,1718,100896,386,129204,
2024,3420,Marshfield Utilities,AB,Water,2266,1778,1946,2416,0,0,0,0,519,39585,238,10919,306,13261,538,30304,69,5076,
2024,3370,Marinette Municipal Water Utility,AB,Water,144,164,0,0,14,25,20,9,283,23662,322,19698,357,29708,531,37548,16,12833,
2024,3320,Manitowoc Public Utilities,AB,Water,4990,9890,15289,21012,0,0,6,12,1514,83918,1281,58952,1471,69945,1567,82714,111,8933,
2024,3280,Madison Water Utility,AB,Water,0,0,0,0,0,0,0,0,4564,634021,4843,933693,4901,1224265,4459,302829,3311,1084609,
2024,3160,Lodi Municipal Light And Water Utility,AB,Water,268,283,289,165,0,0,0,0,226,10502,181,7973,156,7530,146,7489,2,297,
2024,3140,Little Chute Municipal Water Department,AB,Water,0,0,0,0,0,0,0,0,342,18539,355,23920,340,28818,360,10837,119,19406,
2024,3000,Lake Mills Light And Water Department,AB,Water,0,0,0,0,0,0,0,0,92,11582,49,3389,34,2046,94,7500,0,0,
2024,2980,Lake Geneva Utility Commission,AB,Water,270,517,775,971,14,33,59,73,194,7379,185,5623,192,6470,211,3337,16,1897,
2024,2920,La Crosse Water Utility,AB,Water,0,0,0,0,0,0,0,0,2760,498741,2639,644270,2677,801849,2610,323648,1240,234860,
2024,2820,Kenosha Water Utility,AB,Water,0,0,0,0,0,0,0,0,6895,678766,6988,827897,6773,963224,6935,427385,2872,657900,
2024,2800,Kaukauna Utilities,AB,Water,0,0,0,0,0,0,0,0,1090,115699,942,49071,979,43532,1064,76825,74,9081,
2024,2740,Janesville Water Utility,AB,Water,0,0,0,0,0,0,0,0,1599,514208,1645,706403,1534,496488,1359,268851,3025,2893727,
2024,2650,Hustisford Utilities,AB,Water,0,50,50,29,0,0,0,0,21,3256,18,1482,22,1838,26,2181,8,680,
2024,2630,Hudson Public Utilities,AB,Water,0,0,0,0,0,0,0,0,640,163201,819,208984,989,252395,614,92196,401,202303,
2024,2620,Village of Howard Water and Sewer Department,AB,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,41478,414,563215,
2024,2470,City of Hartford Utilities,AB,Water,0,629,620,177,0,0,0,0,1233,42830,1752,23001,851,25784,1200,34019,8,6925,
2024,2360,Village of Greendale Water Utility,AB,Water,0,0,0,0,0,0,0,0,893,148761,890,150883,949,154408,912,168012,314,212864,
2024,2350,Green Bay Water Utility,AB,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024,2310,Town of Grand Chute Sanitary District 1,AB,Water,0,0,0,0,0,0,0,0,1150,177061,1250,222733,1322,262430,1189,158922,183,44968,
2024,2300,Grafton Water and Wastewater Utility,AB,Water,0,0,0,0,0,0,0,0,616,156769,536,137619,572,222001,449,85184,294,131796,
2024,2260,Glendale Water Utility,AB,Water,0,0,0,0,0,0,0,0,709,97050,695,123786,618,158343,498,110605,288,104588,
2024,2210,Germantown Water Utility,AB,Water,0,0,0,0,0,0,0,0,654,82719,697,83642,664,102275,518,42051,236,52081,
2024,2105,Franklin Municipal Water Utility,AB,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75670,0,130164,
2024,2060,City of Fort Atkinson Water Utility,AB,Water,0,174,439,528,0,13,26,31,267,27601,250,17616,319,28145,333,22770,105,35674,
2024,2010,Fond Du Lac Water Utility,AB,Water,0,0,0,0,0,0,0,0,670,341224,791,418803,599,496383,884,339776,1373,675243,
2024,2000,Florence Utility Commission,AB,Water,83,158,228,275,0,4,11,17,65,4425,66,3850,85,2417,46,1037,4,559,
2024,1990,Fitchburg Water Utility,AB,Water,0,0,0,0,0,0,0,0,230,12915,238,16127,245,20625,226,12066,138,25586,
2024,1800,Elkhorn Light And Water,AB,Water,0,1100,1089,448,0,0,0,0,473,56596,446,28626,469,31895,515,55726,6,644,
2024,1740,Eau Claire Municipal Water Utility,AB,Water,0,0,0,0,0,0,0,0,3330,363452,3739,493887,3726,614577,3529,283262,1852,470569,
2024,1710,Eagle River Light And Water Commission,AB,Water,82,68,36,0,0,0,0,0,164,4515,132,3708,106,1179,128,1633,4,862,
2024,1610,De Pere Water Department,AB,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024,1545,Darboy Joint Sanitary District No 1,AB,Water,148,175,161,158,4,5,6,10,180,11860,180,11632,153,10775,163,10785,1,117,
2024,1480,City of Cudahy Water Utility,AB,Water,0,0,0,0,0,0,0,0,1024,33140,1134,84066,982,92470,1020,43302,581,1640345,
2024,1300,Columbus Water And Light Department,AB,Water,652,758,801,769,3,0,0,0,206,20275,257,29873,362,35155,338,31229,28,6871,
2024,1120,Chippewa Falls Department of Public Utilities,AB,Water,0,0,0,0,0,0,0,0,701,64756,758,83423,790,109108,515,42131,404,76156,
2024,1000,Cedarburg Light And Water Commission,AB,Water,0,266,240,300,0,12,15,25,397,75509,391,65533,328,68496,392,72011,6,374,
2024,900,Village of Caledonia Water Utility,AB,Water,0,0,0,0,0,0,0,0,6735,708925,6682,787347,6865,957315,6732,660650,828,285896,
2024,780,Brown Deer Water Public Utility,AB,Water,0,0,0,0,0,0,0,0,957,152530,1079,205319,1048,251689,1225,143190,591,207763,
2024,760,Brookfield Municipal Water Utility,AB,Water,0,0,0,0,0,0,0,0,994,131534,972,166976,1119,213986,924,89227,1370,363696,
2024,550,Black River Falls Municipal Electric and Water,AB,Water,0,1512,1507,429,0,1,0,0,607,239640,703,105893,726,210711,661,157140,19,2340,
2024,455,Beloit Water Utility,AB,Water,0,0,0,0,0,0,0,0,1943,922526,2418,835325,3928,1569368,3709,560655,1932,1204773,
2024,430,Bellevue Water Utility,AB,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,27833,
2024,400,Beaver Dam Water Utility,AB,Water,0,0,0,0,0,0,0,0,1349,147568,1418,185079,1453,217651,1358,105823,637,122616,
2024,360,City of Baraboo Water Utility,AB,Water,439,355,357,386,34,26,24,26,200,3902,172,4787,153,5968,196,3386,30,4365,
2024,255,Ashwaubenon Water And Sewer Utility,AB,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,73009,224,73009,
2024,250,Ashland Water Utility,AB,Water,0,217,327,327,0,1,21,21,421,109172,255,102345,430,107408,394,63488,241,36358,
2024,190,Appleton Water Department,AB,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,449938,1806,460945,
2024,180,Antigo Utilities,AB,Water,0,493,273,0,0,38,19,0,419,63792,329,25960,413,37681,394,24531,295,35364,
2024,70,Village of Allouez Water Department,AB,Water,0,0,0,0,0,0,0,0,0,69306,0,90539,0,116969,0,50049,207,65669,
2024,50,Algoma Utility Commission,AB,Water,402,4,3,234,2,0,1,2,26,1730,19,1169,25,1808,26,1191,4,156,
2024,6800,Village of Wrightstown Water Utility,C,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25034,
2024,6760,Wonewoc Electric and Water Utility,C,Water,170,170,220,220,3,11,3,2,66,14116,58,13736,52,11765,58,14703,1,5,
2024,6620,Wisconsin Dells Municipal Water Utility,C,Water,0,0,0,0,0,0,0,0,265,0,224,0,213,0,217,0,18,1047,
2024,6580,Winneconne Water Utility,C,Water,0,0,0,0,0,0,0,0,214,103824,243,128749,179,132491,170,68578,92,66133,
2024,6572,Windsor Water Utility,C,Water,0,23,0,31,0,0,0,2,217,18107,147,17832,255,28990,200,17997,69,16729,
2024,6540,Williams Bay Municipal Water Utility,C,Water,0,0,0,0,0,0,0,0,90,21829,85,30771,104,36315,102,14339,29,9801,
2024,6530,Whiting Municipal Water And Sewer Utility,C,Water,52,0,0,0,1,0,0,0,44,19428,22,8174,36,13497,70,26097,18,9363,
2024,6520,Whitewater Municipal Water Utility,C,Water,282,583,875,876,18,42,63,70,520,68320,586,76692,552,80875,540,81402,226,40906,
2024,6500,Whitehall Municipal Water Utility,C,Water,0,315,317,0,0,4,0,0,113,16903,101,8333,104,7703,108,13028,5,975,
2024,6430,West Salem Municipal Joint Water and Sewer Utility,C,Water,0,0,0,0,0,0,0,0,230,15471,240,18479,231,21795,226,10011,88,21026,
2024,6400,City of Westby Municipal Electric and Water Utility,C,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024,6390,Brookfield Tn Of  Sanitary Dist No 4,C,Water,0,0,0,0,0,0,0,0,168,12327,165,16219,161,18751,180,9306,85,16500,
2024,6335,Harrison Utilities,C,Water,0,0,0,0,0,0,0,0,232,14310,232,15024,263,20993,274,14327,28,7591,
2024,6325,Wautoma Public Water Utility,C,Water,0,0,0,662,0,0,0,23,120,21228,118,21444,139,40510,131,22899,106,16002,
2024,6210,Village of Waterford Water and Sewer Utility,C,Water,0,0,0,0,0,0,0,0,281,33329,266,44127,263,56491,281,23887,142,46090,
2024,6180,Walworth Municipal Water And Sewer Utility,C,Water,0,0,0,0,0,0,0,0,151,56741,220,74683,155,68946,197,78446,0,0,
2024,6140,City of Viroqua Municipal Water Utility,C,Water,672,594,602,654,8,9,5,2,144,18242,185,21462,257,36693,217,31797,11,2978,
2024,6130,Viola Municipal Water And Electric Utility,C,Water,0,36,79,82,0,0,2,0,74,3762,15,2934,15,8495,31,7918,14,8957,
2024,6020,Union Grove Municipal Water Utility,C,Water,0,0,0,0,0,0,0,0,26,2562,57,3444,59,6565,100,9907,81,8774,
2024,5940,Trempealeau Municipal Electric and Water Utility,C,Water,143,80,63,78,1,0,0,1,54,4881,80,4346,63,3216,78,5505,5,624,
2024,5930,Tomahawk Municipal Water and Sewer Utility,C,Water,120,141,133,116,0,0,0,0,197,27221,152,28839,184,32327,204,28568,31,2723,
2024,5920,Tomah Water Utility,C,Water,210,220,215,260,84,87,90,57,388,16643,455,19373,481,20834,442,17795,79,5918,
2024,5835,Village of Sussex Water Public Utility,C,Water,0,0,0,0,0,0,0,0,521,53335,636,77260,419,48116,543,47597,112,42101,
2024,5795,Suamico Water Utility,C,Water,25,85,189,0,2,2,2,0,212,2568,192,3222,159,3193,172,2683,15,2664,
2024,5760,Stratford Municipal Water and Electric Utility,C,Water,0,129,85,44,0,8,9,4,114,43986,63,18092,64,16730,97,20899,0,0,
2024,5670,Stanley Municipal Waterworks,C,Water,154,177,157,138,10,27,18,0,185,4421,169,5559,160,5221,177,3978,12,31771,
2024,5630,Spooner Municipal Utilities,C,Water,185,205,182,200,0,0,0,0,91,7473,70,3707,83,3633,107,6972,3,138,
2024,5550,Village of Somerset Water Utility,C,Water,0,0,0,0,0,0,0,0,392,114931,412,154623,419,195558,409,91538,165,124812,
2024,5545,Village of Somers Water Utility ,C,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,47127,
2024,5510,Slinger Utilities,C,Water,0,589,1132,1145,0,50,93,206,0,6633,105,1353,145,1095,42,3092,8,313,
2024,5500,Sister Bay Water And Sewer Utility,C,Water,4,4,4,6,0,0,0,0,0,0,0,0,0,0,1,138,0,0,
2024,5440,Shorewood Municipal Water Utility,C,Water,0,0,0,0,0,0,0,0,589,119421,561,144592,574,158184,605,70613,139,99724,
2024,5420,Village of Sherwood Water and Sewer Utility,C,Water,0,0,29,0,0,0,0,0,269,30722,109,13916,243,25571,198,17318,0,0,
2024,5377,Sheboygan Tn Of Sanitary Dist #3,C,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,9618,52,8932,
2024,5360,Shawano Lake Sanitary District #1,C,Water,0,0,0,123,0,0,0,5,169,3160,145,2642,128,1819,135,3057,6,277,
2024,5320,Seymour Municipal Water Utility,C,Water,0,0,0,0,0,0,0,0,295,23741,308,29755,274,24747,304,19262,54,15665,
2024,5290,Schofield Municipal Water and Sewer Utility,C,Water,0,0,0,0,0,0,0,0,149,13337,164,17085,148,15134,160,11890,34,7261,
2024,5270,Saukville Municipal Water Utility,C,Water,0,0,0,0,0,0,0,0,453,26673,450,38723,449,51123,441,15444,89,34066,
2024,5260,Sauk City Municipal Water and Light Utility,C,Water,69,129,135,133,0,13,3,0,69,44069,129,27817,135,28853,133,31396,2,575,
2024,5220,St Croix Falls Municipal Water Utility,C,Water,34,29,41,13,5,3,5,0,157,37254,86,7799,88,7925,142,60758,26,4798,
2024,5180,Rothschild Municipal Water Utility,C,Water,179,73,0,0,12,4,0,0,451,78938,547,86351,468,71051,481,74137,12,4909,
2024,5159,Town of Rome Water Utility,C,Water,0,0,0,0,0,0,0,0,3545,227219,3196,240773,3134,286020,2498,170731,560,53198,
2024,5071,Richland Center Water Utility,C,Water,1575,1628,1659,1462,7,4,3,13,1575,14532,1628,14203,1659,16630,1462,10112,35,6025,
2024,5045,Rib Mountain Water Utility,C,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,28539,85,40241,
2024,5010,City of Rhinelander Water Utility,C,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1965,193916,429,121240,
2024,4890,Pulaski Water Department,C,Water,0,67,0,0,0,0,0,0,149,29810,120,24628,130,31783,145,21492,54,13875,
2024,4880,Princeton Municipal Water and Electric Utility,C,Water,35,20,15,15,0,0,0,0,425,11829,200,4363,180,10373,200,12831,12,6484,
2024,4850,City of Prescott Municipal Water Utility,C,Water,0,0,0,0,0,0,0,0,300,24435,318,34575,369,42854,290,16852,107,26137,
2024,4830,Prairie Du Sac Municipal Electric and Water,C,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024,4820,Prairie Du Chien Municipal Water Utility,C,Water,0,0,0,0,0,0,0,0,232,29763,255,41138,270,52230,257,17955,157,40503,
2024,4810,Poynette Municipal Water Utility,C,Water,140,203,110,172,1,0,1,0,41,1146,40,1476,30,1320,49,3323,2,480,
2024,4770,Port Edwards Water Utility,C,Water,172,134,176,140,2,0,3,4,4,68,3,85,5,172,5,353,2,135,
2024,4760,Portage Water Utility,C,Water,163,171,287,157,11,12,11,19,3083,27354,3122,32660,3132,35764,3085,33529,33,6374,
2024,4620,Village of Pewaukee Water Utility,C,Water,0,0,0,0,0,0,0,0,426,183894,430,220940,376,319994,388,319994,120,184090,
2024,4610,Peshtigo Municipal Water Utility,C,Water,58,97,83,95,5,4,4,5,204,20141,155,28316,154,25091,167,30361,5,1022,
2024,4585,Village of Bloomfield Utility Department,C,Water,386,3368,344,0,26,25,27,0,85,15841,82,17038,57,17765,55,12630,23,17613,
2024,4550,Park Falls Municipal Water Utility,C,Water,220,0,99,81,0,0,2,2,103,38655,115,47313,141,66943,138,50085,41,25637,
2024,4460,Osceola Municipal Water Utility,C,Water,99,74,70,65,0,0,2,2,0,0,0,0,2,476,2,397,4,1224,
2024,4430,Oostburg Municipal Water Utility,C,Water,0,12,12,0,0,0,0,0,47,17648,52,24093,42,15645,21,1353,27,5898,
2024,4400,City of Omro Water Utility,C,Water,196,343,257,247,0,0,9,0,148,14600,214,25472,223,21686,198,19887,15,1123,
2024,4360,Oconto Falls Water And Light Commission,C,Water,542,186,236,225,6,0,2,11,542,18341,186,10650,236,7213,225,8177,8,876,
2024,4350,Oconto Utility Commission,C,Water,312,301,299,321,5,7,7,20,0,0,0,0,0,0,0,0,15,6761,
2024,4230,North Fond Du Lac Water Utility,C,Water,683,796,885,814,33,28,31,36,346,35784,354,40043,402,51578,345,33376,45,23852,
2024,4140,New Richmond Municipal Water Utility,C,Water,162,321,311,161,0,0,0,0,773,32275,846,29524,902,34077,717,29008,34,1850,
2024,4120,City of New Lisbon Electric and Water Utility,C,Water,160,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
2024,4110,New Holstein Public Utility,C,Water,197,173,214,156,3,0,0,0,18,299,9,297,8,356,19,1147,2,88,
2024,4100,New Glarus Light And Water Works,C,Water,0,238,193,120,0,0,0,0,234,56772,238,47267,60,9535,148,9260,1,535,
2024,4050,Nekoosa Municipal Water Utility,C,Water,132,112,87,75,7,5,4,4,188,52340,108,34540,145,47900,122,42500,42,14030,
2024,4040,City of Neillsville Municipal Water Utility,C,Water,148,150,170,123,7,7,2,0,8,855,18,2496,38,5889,0,0,39,7383,
2024,4005,City of Muskego Water Public Utility,C,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,46643,
2024,4000,Muscoda Light And Water Utility,C,Water,0,0,0,563,0,0,0,32,125,2508,133,1610,113,1361,125,2259,6,238,
2024,3980,Mukwonago Municipal Water Utility,C,Water,291,279,236,294,0,2,4,0,51,8858,90,6808,64,4505,72,8378,11,3477,
2024,3950,Mount Horeb Water And Sewer Utility,C,Water,0,656,552,245,0,42,24,10,1922,44548,2035,46546,939,25024,871,23052,0,0,
2024,3890,Mosinee Municipal Water And Sewer Utility,C,Water,127,0,0,0,0,0,0,0,418,62826,412,78996,385,114324,375,56372,74,45827,
2024,3830,City of Montello Water Utility,C,Water,32,9,27,21,0,1,0,0,53,10224,40,10420,55,8871,52,9466,14,2281,
2024,3800,Monona Water Utility,C,Water,0,345,278,0,0,0,0,0,306,45998,345,51836,278,41708,93,13876,68,7787,
2024,3780,Mondovi Municipal Water And Sewer Utility,C,Water,0,0,26,18,0,0,0,4,300,74510,367,108496,255,76418,355,84434,50,28765,
2024,3740,Mineral Point Municipal Water Utility,C,Water,103,112,116,103,0,1,0,0,108,14417,119,11635,123,12780,113,11478,8,1687,
2024,3700,City of Milton Municipal Water Utility,C,Water,0,0,0,2,0,0,0,0,1681,288045,432,137163,1722,363410,510,82736,155,100408,
2024,3620,Merrillan Municipal Electric and Water Utility,C,Water,163,337,377,421,0,4,8,12,163,2955,154,2136,139,2559,52,1700,2,160,
2024,3610,Merrill Water Utility,C,Water,330,435,383,290,2,3,2,6,265,26274,370,38685,250,35761,213,24562,59,17855,
2024,3520,Medford Water works,C,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,879,10,879,10,879,
2024,3490,Mcfarland Water and Sewer Utility,C,Water,0,0,0,0,0,0,0,0,1861,48858,1770,90039,1918,123238,1783,105921,76,46090,
2024,3460,Mayville Municipal Water Utility,C,Water,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,32414,
2024,3450,City of Mauston Municipal Water Utility,C,Water,392,747,1134,1243,19,36,51,55,177,18124,358,23374,544,25395,843,55497,21,9018,
2024,3410,Marshall Water And Sewer Utility,C,Water,0,0,0,0,0,0,0,0,115,33357,97,36503,69,28320,96,21489,40,14666,
2024,3240,Luxemburg Municipal Water Utility,C,Water,0,20,24,0,0,0,2,0,59,845,61,758,66,1345,65,2049,2,838,
2024,3095,Town of Lawrence Water Utility,C,Water,187,161,129,148,0,0,0,0,187,49468,161,36366,129,45433,148,39723,24,15863,
2024,3030,Lancaster Municipal Water Utility,C,Water,0,0,0,0,0,0,0,0,105,16760,86,18295,186,18805,57,19145,65,29125,
2024,2985,Lakeland Sanitary District #1,C,Water,3,13,9,3,0,0,0,0,1,69,4,270,4,340,0,0,4,354,
2024,2975,Village of Lake Delton Water Utility,C,Water,0,0,0,0,0,0,0,0,94,4194,48,3557,54,4283,81,2727,25,8096,
2024,2973,Lake Como Sanitary District #1,C,Water,204,208,207,203,14,25,18,17,15,1744,23,8699,16,9372,14,581,33,10908,
2024,2940,Ladysmith Municipal Water Utility,C,Water,296,301,302,333,7,8,10,3,250,24865,252,30678,265,29138,247,20448,57,18477,
2024,2901,Kronenwetter Water Utility,C,Water,0,18,10,0,0,4,0,0,244,50338,227,62110,224,76775,235,61170,11,10295,
2024,2870,Kimberly Municipal Water Utility,C,Water,0,0,0,0,0,0,0,0,402,105979,481,150588,451,168803,431,73944,158,97686,
2024,2850,City of Kiel Utilities,C,Water,0,236,96,0,0,13,5,0,339,11650,393,7494,338,8825,399,10538,28,1327,
